№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
,,,,,,,,,,,,Сметанник,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Сметанник,Тесто Сдобное п/ф,,,,кг,"0,160",,"0,160",,"  0,1600 ",,"0,147","Технология приготовления
Формовка: Тесто делить на заготовки массой 175 гр, округлить. Раскатать заготовки в пласт толщиной 0,7 - 0,8 см круглой формы и уложить в форму для запекания. Поднять края теста и сделать бортики высотой 2 см .Края бортиков   защипать.Залить начинку для сметанника 205 гр. Тестовые заготовки укладывать на плоский алюминиевый лист размеры 600х400 мм по 6 шт (3 вдоль листа х 2 поперек листа), расстояние между заготовками 3-4 см, поставить выпекаться.
Выпечка Печь конвекционная: Выпекать при t=180°c время выпечки 25-30 мин. Убрать лист с готовой продукцией на стеллаж (шпилька).Края припудрить сахарной пудрой.
Выпечка Печь подовая: Выпекать при t верхнего пода 180°c, нижнего пода 180°c время выпечки 30-35 мин. Убрать лист с готовой продукцией на стеллаж (шпилька). Края припудрить сахарной пудрой.




ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Сметанник,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Сметанник,САХАРНАЯ ПУДРА,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,000",,,,,
4,Сметанник,Начинка для сметанника  п/ф 1 кг,,,,кг,"0,205",,"0,205",,"  0,2050 ",,"0,205",,,,,
5,Сметанник,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,000",,,,,
6,Сметанник,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,,,,,,,,,,, ,,,,,,,
8,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,, ,,,,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
14,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,3524",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок ржаной с грибами и картофелем,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629603,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок ржаной с грибами и картофелем,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Пирожок ржаной с грибами и картофелем,Тесто ржаное пресное п/ф,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,039","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок ржаной с грибами и картофелем,фарш картоф/грибы на пироги  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Пирожок ржаной с грибами и картофелем,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок ржаной с грибами и картофелем,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Пирожок ржаной с грибами и картофелем,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,Пирожок ржаной с грибами и картофелем,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
7,Пирожок ржаной с грибами и картофелем,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0764",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок ржаной с капустой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629911,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок ржаной с капустой,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок ржаной с капустой,Тесто ржаное пресное п/ф,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,045","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок ржаной с капустой,фарш капуста/лук на пирожки  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
3,Пирожок ржаной с капустой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
4,Пирожок ржаной с капустой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Пирожок ржаной с капустой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0888",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок ржаной с картофелем,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641078,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок ржаной с картофелем,,,,,,
 10.02.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок ржаной с картофелем,Тесто ржаное пресное п/ф,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,039","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок ржаной с картофелем,Начинка картофельная,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Пирожок ржаной с картофелем,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок ржаной с картофелем,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Пирожок ржаной с картофелем,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,Пирожок ржаной с картофелем,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
7,Пирожок ржаной с картофелем,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0764",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирожок ржаной с луком и яйцом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629601,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирожок ржаной с луком и яйцом,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирожок ржаной с луком и яйцом,Тесто ржаное пресное п/ф,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,039","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирожок ржаной с луком и яйцом,Фарш с яйцом и зел. луком на пирожки  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Пирожок ржаной с луком и яйцом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Пирожок ржаной с луком и яйцом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
5,Пирожок ржаной с луком и яйцом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0744",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
МИНИ Самса с курицей,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641121,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,МИНИ Самса с курицей,,,,,,
 20.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,МИНИ Самса с курицей,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,МИНИ Самса с курицей,фарш для самсы с курицей п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,033",,,,,
3,МИНИ Самса с курицей,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
4,МИНИ Самса с курицей,КУНЖУТ БЕЛЫЙ,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
5,МИНИ Самса с курицей,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,МИНИ Самса с курицей,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,МИНИ Самса с курицей,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,МИНИ Самса с курицей,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0864",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
МИНИ Самса с мясом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641122,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,МИНИ Самса с мясом,,,,,,
 20.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,МИНИ Самса с мясом,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,200",,"0,200",,"  0,2000 ",,"0,200","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,МИНИ Самса с мясом,Начинка на самсу с мясом,,,,кг,"0,200",,"0,200",,"  0,2000 ",,"0,200",,,,,
3,МИНИ Самса с мясом,Меланж (битое яйцо 10 шт),,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,000",,,,,
4,МИНИ Самса с мясом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050",,,,,
5,МИНИ Самса с мясом,Пакеты отрывные (500шт),,,,шт,"5,000",,"0,000",,  -   ,,"0,000",,,,,
6,МИНИ Самса с мясом,МАК ПИЩЕВОЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"5,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,4505",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Самса с курицей,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688727,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Самса с курицей,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Самса с курицей,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Самса с курицей,фарш для самсы с курицей п/ф 1 кг,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,067",,,,,
3,Самса с курицей,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,Самса с курицей,КУНЖУТ БЕЛЫЙ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,Самса с курицей,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Самса с курицей,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
7,Самса с курицей,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,Самса с курицей,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1637",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Самса с мясом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629323,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Самса с мясом,,,,,,
 10.02.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Самса с мясом,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,400",,"0,400",,"  0,4000 ",,"0,400","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Самса с мясом,Начинка на самсу с мясом,,,,кг,"0,400",,"0,400",,"  0,4000 ",,"0,400",,,,,
3,Самса с мясом,Меланж (битое яйцо 10 шт),,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,000",,,,,
4,Самса с мясом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
5,Самса с мясом,Пакеты отрывные (500шт),,,,шт,"5,000",,"0,000",,  -   ,,"0,000",,,,,
6,Самса с мясом,МАК ПИЩЕВОЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"5,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,8105",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Самса с сыром,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630156,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Самса с сыром,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Самса с сыром,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Самса с сыром,СЫР ТВЕРДЫЙ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Самса с сыром,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
4,Самса с сыром,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Самса с сыром,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1120",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Самса с тыквой и мясом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630309,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Самса с тыквой и мясом,,,,,,
 10.02.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Самса с тыквой и мясом,СЛОЙКА ПРЕСНАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Самса с тыквой и мясом,Начинка для самсы с мясом и тыквой,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
3,Самса с тыквой и мясом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,Самса с тыквой и мясом,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
5,Самса с тыквой и мясом,КУНЖУТ БЕЛЫЙ,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
6,Самса с тыквой и мясом,СОЛЬ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
7,Самса с тыквой и мясом,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,001",,,,,
8,Самса с тыквой и мясом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1680",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Киш курица грибы,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641129,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Киш курица грибы,,,,,,
 22.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Киш курица грибы,Тесто на кокроки п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Киш курица грибы,начинка киш курица,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,045",,,,,
3,Киш курица грибы,Начинка для сметанника  п/ф 1 кг,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1250",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Киш мясо грибы,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641131,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Киш мясо грибы,,,,,,
 22.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Киш мясо грибы,Тесто на кокроки п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Киш мясо грибы,начинка киш мясо,,,,кг,"0,045",,"0,045",,"  0,0450 ",,"0,045",,,,,
3,Киш мясо грибы,Начинка для сметанника  п/ф 1 кг,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1250",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Конвертик с курицей и грибами,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629929,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Конвертик с курицей и грибами,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Конвертик с курицей и грибами,Тесто арбатское п/ф,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,080","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Конвертик с курицей и грибами,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
3,Конвертик с курицей и грибами,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"  0,0090 ",,"0,009",,,,,
4,Конвертик с курицей и грибами,КУНЖУТ БЕЛЫЙ,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Конвертик с курицей и грибами,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
6,Конвертик с курицей и грибами,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,Конвертик с курицей и грибами,Начинка на конвертик с курицей и грибами п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
