№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
5,Пирог капустный,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
6,Пирог капустный,фарш капуста/лук на пирожки  п/ф 1 кг,,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,240",,,,,
7,Пирог капустный,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог курица грибы картофель,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641060,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог курица грибы картофель,,,,,,
 25.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог курица грибы картофель,Тесто арбатское п/ф,,,,кг,"0,270",,"0,270",,"  0,2700 ",,"0,260","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог курица грибы картофель,Начинка пирог курица+картошка+грибы+лук,,,,кг,"0,300",,"0,300",,"  0,3000 ",,"0,300",,,,,
3,Пирог курица грибы картофель,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Пирог курица грибы картофель,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Пирог курица грибы картофель,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,Пирог курица грибы картофель,СОЛЬ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
7,Пирог курица грибы картофель,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,001",,"0,001",,"  0,0010 ",,"0,000",,,,,
8,Пирог курица грибы картофель,МАРГАРИН,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5600",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог Рыбный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923640807,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог Рыбный,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог Рыбный,Тесто арбатское п/ф,,,,кг,"0,270",,"0,270",,"  0,2700 ",,"0,270","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог Рыбный,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
3,Пирог Рыбный,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"  0,0090 ",,"0,009",,,,,
4,Пирог Рыбный,фарш рыбный на пирожки (семга+рис+лук)  п/ф 1 кг,,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,250",,,,,
5,Пирог Рыбный,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5380",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог с капустой и яйцом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629359,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог с капустой и яйцом,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог с капустой и яйцом,Тесто арбатское п/ф,,,,кг,"0,270",,"0,270",,"  0,2700 ",,"0,250","Технология приготовления
Формовка: Тесто делить на заготовки массой 270 гр. Заготовку разделить на 2 части: 200 гр нижний слой, 70 гр верхний слой пирога. Раскатать нижний слой толщиной 0,7-0,8 см прямоугольной формы, выложить равномерно мясо-капустный фарш 250 гр. Накрыть верхним слоем и защипать шажком. Придать форму прямоугольника . Поместить на верхнюю корочку изделия 1 цветок и 1 листик .  Тестовые заготовки укладывать на смазанный маслом плоский алюминиевый лист размеры 600х400 мм по 6 шт (3 вдоль листа х 2 поперек листа), расстояние между заготовками 2-3 см, поставить в расстойку.                                           
Расстойка Расстоечный шкаф GrillMaster: Выставить регулятор температуры в положение 50. Воду в поддон наливать каждые 3 часа. Использовать проточную воду t=+20…+25°c. Время расстойки 30-35 мин
Расстойка Расстоечный шкаф Восход: Выставить регулятор температуры в положение 60. Воду в поддон наливать каждые 3 часа. Использовать проточную воду t=+20…+25°c. Время расстойки 30-35 мин
Расстойка Расстоечный шкаф Convito: Выставить регулятор Temperature control of water в положение 50°c, Temperature control of air в положение 50°c. Воду в поддон наливать каждые 3 часа. Использовать проточную воду t=+20…+25°c. Время расстойки 30-35 мин
Выпечка Печь конвекционная: Перед выпечкой смазать расстоявшиеся заготовки меланжем. Выпекать при t=190°c время выпечки 25-30 мин. После выпечки смазать изделие маргарином. Убрать лист с готовой продукцией на стеллаж (шпилька).





ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог с капустой и яйцом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
